,venue,latitude,longitude,price_for_two,price_range,rating,address
300,Oh! Dish Kitchen,17.441306,78.391024,500.0,2.0,3.4,"Plot 44, House 1-98-90/25K, First Floor, Metro Pillar 39, Hi-Tech City Road, Madhapur, Hyderbad"
301,Off The Grill,17.44243,78.388004,400.0,1.0,0,"1-10/2, Hitec City Road, Madhapur, Hyderabad"
302,0.0,0.0,0.0,0.0,0.0,0.0,
303,Zomoz - The Momo Company,17.434295,78.386555,250.0,1.0,3.8,"4th Floor, Food Court, Inorbit Mall, Hitech City, Hyderabad"
304,Little Things,17.440416,78.39357,800.0,2.0,4.2,"Metro Pillar 29, Madhapur Main Road, Madhapur, Hyderabad"
305,Hyderabad Hosts,17.441383,78.39039,800.0,2.0,2.4,"Opposite Madhapur Petrol Station, Madhapur Main Road, Madhapur, Hyderabad"
306,Chic N Cone,17.43426,78.386529,200.0,1.0,3.5,"Inorbit Mall, S 64, APIIC Software Layout, Inorbit Mall Road, Mindspace Madhapur Road, Hitech City, Hyderabad"
307,Shanghai Chef,17.440181,78.389385,1100.0,3.0,0,"Gafoor Nagar, Vittal Rao Nagar, Madhapur, Hyderabad"
308,Hyderabad Spice,17.441294,78.396623,900.0,2.0,3.7,"1st Floor, Accor Blue, Near Home Mart, Kavuri Hills, Madhapur, Hyderabad"
309,TGrill,17.442599,78.396326,650.0,2.0,3.6,"3rd Floor, Jyoti Elegance, Kavuri Hills, Road 36 Extension, Madhapur, Hyderabad"
310,Ci Gusta!,17.438271,78.395759,1400.0,3.0,4.5,"Plot 66, Jyothi Celeste, Kavuri Hills, Madhapur, Hyderabad"
311,Chic N Cone,17.43426,78.386529,200.0,1.0,3.5,"Inorbit Mall, S 64, APIIC Software Layout, Inorbit Mall Road, Mindspace Madhapur Road, Hitech City, Hyderabad"
312,Punjabi Affair,17.442445,78.388024,700.0,2.0,4.3,"Opposite Krishe Sapphire Building, Madhapur, Hyderabad"
313,0.0,0.0,0.0,0.0,0.0,0.0,
314,Adaa - Taj Falaknuma Palace,17.334287,78.467513,8000.0,4.0,4.5,"Taj Falaknuma Palace, Falaknuma, Hyderabad"
315,Southern Kitchen,17.49483,78.339945,650.0,2.0,3.6,"1-57/90, Madinaguda, Near Madinaguda Bus Stop, Hafeezpet, Hyderabad"
316,Bahar Cafe,17.495114,78.338009,650.0,2.0,2.6,"Plot 5-8, Opposite Reliance Digitals, Madinaguda, Hafeezpet, Hyderabad"
317,Frozen Bottle,17.495276,78.327454,300.0,1.0,4.4,"H 2-85 And 2-83, Opposite Karur Vysya Bank, Chanda Nagar, Hyderabad"
318,B & W Restaurant - Swagath de Royal,17.460055,78.366159,800.0,2.0,3.9,"2-36, Swagath De Royal, Kothaguda Cross Roads, Kondapur, Hyderabad"
319,Paradise Biryani,17.441699,78.487526,800.0,2.0,4.7,"SD Road, Paradise Circle, Secunderabad"
320,Reshmi's Classic Restaurant,17.442175,78.49013,700.0,2.0,4.0,"108/A, 1-7-395, Park Lane, Paradise Circle, Secunderabad"
321,McDonald's,17.441648,78.491341,500.0,2.0,4.2,"Minerva Complex, S D Road, Secunderabad"
322,Chutneys,17.443102,78.479933,600.0,2.0,4.1,"1-8-303/48/3, S P Road, Secunderabad"
323,Dakshina Mandapa - Taj Tristar,17.441422,78.493475,700.0,2.0,3.9,"Taj Tristar Hotel, Basement, 1-1-40, S D Road, Secunderabad"
324,Santosh Dhaba,17.442409,78.486718,500.0,2.0,3.7,"1-7-207/C/4, Serial 4 To 8, Kamala Devi Chambers, Paradise Circle, Secunderabad"
325,Nanking,17.442016,78.49014,750.0,2.0,4.1,"103, Near Smile Super Speciality Dental Hospital, Park Lane, Paradise Circle, Secunderabad"
326,The Melting Pot -  Belson Taj Hotel,17.442338,78.493556,800.0,2.0,3.8,"Belson Taj Hotel, 82, Main Guard Road, S D Road, Secunderabad"
327,McDonald's,17.441648,78.491341,500.0,2.0,4.2,"Minerva Complex, S D Road, Secunderabad"
328,Amogh Takeaway - Yatri Nivas,17.443041,78.48424,500.0,2.0,3.4,"1-8-180/B, Yatri Nivas, S P Road, Secunderabad"
329,KFC,17.435888,78.488469,450.0,1.0,4.0,"Ankita Arcade, Rani Gunj, Secunderabad"
330,Chung Hua Restaurant,17.440825,78.479302,700.0,2.0,3.9,"1st Floor, 1-8-303/48/43, Rocha Plaza, Minister Road, PG Road, Secunderabad"
331,Sri Ratanlal Mithai Bhandar,17.436567,78.493933,250.0,1.0,3.9,"House 3-3-5, Rashtrapathi Road, Narasimha Mandir, S D Road, Secunderabad"
332,KFC,17.367474,78.540629,450.0,1.0,4.0,"11-309/1/2, Survey 9/1, Saroornagar, Opposite Bus Stop, Kothapet X Road, Hyderabad"
333,S S Dum Biryani,17.470405,78.538989,250.0,1.0,0,"House 29-504, Neredmet, Ramakrishnapuram, Vinayak Nagar, Malkajgiri, Secunderabad"
334,Mandi King,17.405999,78.376392,400.0,1.0,3.4,"Marrichettu Junction, Sri Laxmi Nagar, Near Lanco Hills, Manikonda, Hyderabad"
335,Cake Magic,17.463463,78.483701,150.0,1.0,3.4,"Plot 3, Panchavathi Colony, Bowenpally, Secunderabad"
336,KFC,17.456801,78.499467,450.0,1.0,4.0,"B1, Karkhana Road, Karkhana, Secunderabad"
337,Nanking CR,17.453996,78.498839,800.0,2.0,3.8,"Opposite Secunderabad Club, Picket, Marredpally, Secunderabad"
338,KFC,17.456801,78.499467,450.0,1.0,4.0,"B1, Karkhana Road, Karkhana, Secunderabad"
339,Sai Palace Fast Food,17.44384,78.507344,350.0,1.0,3.6,"ST 2, Lane Beside HDFC Bank ATM, Marredpally, Secunderabad"
340,A'la Liberty,17.40738,78.444296,850.0,2.0,4.2,"1st & 2nd Floor, Leela Gopal Towers, Road 12, Near Century Hospital, Banjara Hills, Hyderabad"
341,Just Parantha,17.408202,78.447438,300.0,1.0,4.0,"8-2-677/A/3/1, Banjara Plaza, Road 12, Banjara Hills, Hyderabad"
342,Paradise Biryani,17.403812,78.453018,700.0,2.0,4.0,"Cross Road, Masab Tank, Hyderabad"
343,Al Hejaz Cafeteria,17.391937,78.426741,200.0,1.0,4.1,"Tallagadd Road, Opposite New Premier Hospital, Near Nana Nagar, Mehdipatnam, Hyderabad"
344,Shah Ghouse Cafe & Restaurant,17.396299,78.424931,700.0,2.0,4.1,"House 9-4-86/17, Salarjung Colony, Circle 10, Tolichowki, Hyderabad"
